Date,DSCI
Jan-2000,89
Feb-2000,125
Mar-2000,142
Apr-2000,122
May-2000,169
Jun-2000,229
Jul-2000,94
Aug-2000,65
Sep-2000,136
Oct-2000,155
Nov-2000,53
Dec-2000,50
Jan-2001,36
Feb-2001,21
Mar-2001,21
Apr-2001,21
May-2001,12
Jun-2001,13
Jul-2001,35
Aug-2001,38
Sep-2001,79
Oct-2001,101
Nov-2001,168
Dec-2001,165
Jan-2002,169
Feb-2002,164
Mar-2002,209
Apr-2002,268
May-2002,336
Jun-2002,387
Jul-2002,377
Aug-2002,285
Sep-2002,274
Oct-2002,239
Nov-2002,208
Dec-2002,193
Jan-2003,184
Feb-2003,125
Mar-2003,142
Apr-2003,122
May-2003,264
Jun-2003,277
Jul-2003,278
Aug-2003,314
Sep-2003,352
Oct-2003,365
Nov-2003,373
Dec-2003,382
Jan-2004,428
Feb-2004,429
Mar-2004,405
Apr-2004,246
May-2004,232
Jun-2004,240
Jul-2004,256
Aug-2004,222
Sep-2004,210
Oct-2004,198
Nov-2004,187
Dec-2004,181
Jan-2005,178
Feb-2005,157
Mar-2005,101
Apr-2005,70
May-2005,55
Jun-2005,53
Jul-2005,90
Aug-2005,107
Sep-2005,86
Oct-2005,86
Nov-2005,108
Dec-2005,119
Jan-2006,161
Feb-2006,248
Mar-2006,293
Apr-2006,301
May-2006,336
Jun-2006,354
Jul-2006,289
Aug-2006,137
Sep-2006,53
Oct-2006,31
Nov-2006,29
Dec-2006,55
Jan-2007,43
Feb-2007,23
Mar-2007,33
Apr-2007,43
May-2007,43
Jun-2007,45
Jul-2007,44
Aug-2007,23
Sep-2007,11
Oct-2007,17
Nov-2007,31
Dec-2007,42
Jan-2008,45
Feb-2008,59
Mar-2008,73
Apr-2008,129
May-2008,128
Jun-2008,169
Jul-2008,138
Aug-2008,42
Sep-2008,32
Oct-2008,24
Nov-2008,31
Dec-2008,39
Jan-2009,31
Feb-2009,49
Mar-2009,79
Apr-2009,112
May-2009,133
Jun-2009,105
Jul-2009,62
Aug-2009,46
Sep-2009,45
Oct-2009,36
Nov-2009,41
Dec-2009,55
Jan-2010,74
Feb-2010,45
Mar-2010,26
Apr-2010,21
May-2010,18
Jun-2010,48
Jul-2010,64
Aug-2010,20
Sep-2010,21
Oct-2010,23
Nov-2010,28
Dec-2010,112
Jan-2011,140
Feb-2011,174
Mar-2011,222
Apr-2011,306
May-2011,374
Jun-2011,403
Jul-2011,421
Aug-2011,409
Sep-2011,395
Oct-2011,370
Nov-2011,358
Dec-2011,311
Jan-2012,277
Feb-2012,265
Mar-2012,265
Apr-2012,280
May-2012,292
Jun-2012,301
Jul-2012,305
Aug-2012,298
Sep-2012,275
Oct-2012,277
Nov-2012,300
Dec-2012,316
Jan-2013,323
Feb-2013,328
Mar-2013,342
Apr-2013,367
May-2013,423
Jun-2013,431
Jul-2013,419
Aug-2013,364
Sep-2013,274
Oct-2013,214
Nov-2013,216
Dec-2013,215
Jan-2014,227
Feb-2014,264
Mar-2014,285
Apr-2014,301
May-2014,322
Jun-2014,312
Jul-2014,308
Aug-2014,219
Sep-2014,202
Oct-2014,180
Nov-2014,175
Dec-2014,186
Jan-2015,186
Feb-2015,180
Mar-2015,170
Apr-2015,157
May-2015,127
Jun-2015,88
Jul-2015,74
Aug-2015,67
Sep-2015,61
Oct-2015,46
Nov-2015,31
Dec-2015,26
Jan-2016,11
Feb-2016,13
Mar-2016,70
Apr-2016,140
May-2016,124
Jun-2016,98
Jul-2016,99
Aug-2016,116
Sep-2016,63
Oct-2016,54
Nov-2016,64
Dec-2016,54
Jan-2017,28
Feb-2017,18
Mar-2017,44
Apr-2017,48
May-2017,26
Jun-2017,30
Jul-2017,32
Aug-2017,C
Sep-2017,4
Oct-2017,12
Nov-2017,36
Dec-2017,101
