Date,Palmer-Z
Jan-2000,-1.62
Feb-2000,-2.47
Mar-2000,1.14
Apr-2000,-1.34
May-2000,-3.17
Jun-2000,1.59
Jul-2000,-1.87
Aug-2000,-2.14
Sep-2000,-3.48
Oct-2000,4.5
Nov-2000,2.55
Dec-2000,0.09
Jan-2001,2.15
Feb-2001,0.4
Mar-2001,1.63
Apr-2001,0.02
May-2001,0.71
Jun-2001,-0.12
Jul-2001,-1.51
Aug-2001,-0.04
Sep-2001,-1.93
Oct-2001,-2.38
Nov-2001,0.18
Dec-2001,-0.8
Jan-2002,-0.61
Feb-2002,-0.82
Mar-2002,-0.91
Apr-2002,-2.36
May-2002,-3
Jun-2002,-2.36
Jul-2002,-0.78
Aug-2002,-2.2
Sep-2002,1.79
Oct-2002,0.98
Nov-2002,-0.11
Dec-2002,1.08
Jan-2003,-1.86
Feb-2003,0.98
Mar-2003,0.23
Apr-2003,-1.48
May-2003,-2.1
Jun-2003,-0.53
Jul-2003,-4.06
Aug-2003,-1.98
Sep-2003,-1.38
Oct-2003,-0.93
Nov-2003,0.18
Dec-2003,-1.48
Jan-2004,-0.7
Feb-2004,1.35
Mar-2004,-0.44
Apr-2004,4.85
May-2004,-1.28
Jun-2004,-0.19
Jul-2004,-0.22
Aug-2004,-0.24
Sep-2004,1.01
Oct-2004,1.28
Nov-2004,3.21
Dec-2004,0.3
Jan-2005,2.69
Feb-2005,3.64
Mar-2005,2.13
Apr-2005,1.57
May-2005,2.04
Jun-2005,0.12
Jul-2005,-2.71
Aug-2005,0.99
Sep-2005,0.11
Oct-2005,0.29
Nov-2005,-1.95
Dec-2005,-1.99
Jan-2006,-1.99
Feb-2006,-2.21
Mar-2006,-1.42
Apr-2006,-2.4
May-2006,-2.95
Jun-2006,-1.28
Jul-2006,0.69
Aug-2006,5.34
Sep-2006,2.38
Oct-2006,2.1
Nov-2006,-1.31
Dec-2006,1.3
Jan-2007,1.27
Feb-2007,0.11
Mar-2007,0.64
Apr-2007,0.67
May-2007,2.6
Jun-2007,0.49
Jul-2007,-0.13
Aug-2007,-1.12
Sep-2007,-0.16
Oct-2007,-2.23
Nov-2007,-1.47
Dec-2007,1.99
Jan-2008,0.38
Feb-2008,0.05
Mar-2008,-1.39
Apr-2008,-1.51
May-2008,-0.3
Jun-2008,-1.39
Jul-2008,3.49
Aug-2008,0.63
Sep-2008,-0.48
Oct-2008,0.53
Nov-2008,-0.94
Dec-2008,0.16
Jan-2009,-1.4
Feb-2009,-1.86
Mar-2009,-1.69
Apr-2009,-1.1
May-2009,-0.93
Jun-2009,0.11
Jul-2009,-0.07
Aug-2009,-2.68
Sep-2009,0.52
Oct-2009,0.35
Nov-2009,-1.09
Dec-2009,0.67
Jan-2010,2.34
Feb-2010,1.92
Mar-2010,1.75
Apr-2010,1.23
May-2010,-0.2
Jun-2010,-0.37
Jul-2010,2.64
Aug-2010,-0.05
Sep-2010,-0.99
Oct-2010,-1.21
Nov-2010,-1.48
Dec-2010,-0.68
Jan-2011,-1.57
Feb-2011,-0.62
Mar-2011,-2.72
Apr-2011,-2.4
May-2011,-2.3
Jun-2011,-3.09
Jul-2011,-2.23
Aug-2011,-2.04
Sep-2011,-0.36
Oct-2011,-0.21
Nov-2011,-0.6
Dec-2011,3.12
Jan-2012,-0.97
Feb-2012,-0.46
Mar-2012,-1.51
Apr-2012,-1.6
May-2012,-1.3
Jun-2012,-2.73
Jul-2012,-1.33
Aug-2012,-2.51
Sep-2012,-1.16
Oct-2012,-2.37
Nov-2012,-2.03
Dec-2012,-0.71
Jan-2013,-0.26
Feb-2013,-0.7
Mar-2013,-1.91
Apr-2013,-1.98
May-2013,-2.5
Jun-2013,-2.53
Jul-2013,1.7
Aug-2013,-1
Sep-2013,4.48
Oct-2013,-0.95
Nov-2013,0.97
Dec-2013,-0.68
Jan-2014,-1.6
Feb-2014,-1.95
Mar-2014,-1.34
Apr-2014,-1.48
May-2014,-0.61
Jun-2014,-2.01
Jul-2014,1.22
Aug-2014,0.25
Sep-2014,2.75
Oct-2014,-1.11
Nov-2014,0
Dec-2014,-0.06
Jan-2015,2.15
Feb-2015,0.09
Mar-2015,-0.26
Apr-2015,0.08
May-2015,3.5
Jun-2015,1.85
Jul-2015,3.45
Aug-2015,-0.61
Sep-2015,-1.4
Oct-2015,3.34
Nov-2015,0.97
Dec-2015,1.11
Jan-2016,0.06
Feb-2016,-1.01
Mar-2016,-2.22
Apr-2016,0.31
May-2016,0
Jun-2016,-0.25
Jul-2016,-2.51
Aug-2016,2.49
Sep-2016,1.7
Oct-2016,-2.31
Nov-2016,1.15
Dec-2016,0.79
Jan-2017,3.57
Feb-2017,-0.37
Mar-2017,-1.41
Apr-2017,0.63
May-2017,-0.03
Jun-2017,-0.05
Jul-2017,0.49
Aug-2017,1.7
Sep-2017,1.64
Oct-2017,-0.05
Nov-2017,-2.23
Dec-2017,-2.03
