date,PDSI
Jan-2000,-1.26
Feb-2000,-2.31
Mar-2000,-1.69
Apr-2000,-1.98
May-2000,-2.95
Jun-2000,-1.99
Jul-2000,-2.44
Aug-2000,-2.94
Sep-2000,-3.88
Oct-2000,-1.85
Nov-2000,-0.25
Dec-2000,0.25
Jan-2001,1.7
Feb-2001,1.79
Mar-2001,2.37
Apr-2001,2.16
May-2001,2.21
Jun-2001,1.9
Jul-2001,1.02
Aug-2001,0.84
Sep-2001,-0.2
Oct-2001,-1.49
Nov-2001,-1.34
Dec-2001,-1.56
Jan-2002,-1.66
Feb-2002,-1.83
Mar-2002,-1.95
Apr-2002,-2.56
May-2002,-3.33
Jun-2002,-3.78
Jul-2002,-3.66
Aug-2002,-4.01
Sep-2002,-3
Oct-2002,-2.32
Nov-2002,-2.09
Dec-2002,-1.3
Jan-2003,-1.8
Feb-2003,-1.26
Mar-2003,-1.01
Apr-2003,-1.49
May-2003,-2.08
Jun-2003,-2.02
Jul-2003,-3.22
Aug-2003,-3.55
Sep-2003,-3.65
Oct-2003,-3.58
Nov-2003,-3.15
Dec-2003,-3.32
Jan-2004,-3.21
Feb-2004,-2.42
Mar-2004,-2.3
Apr-2004,0.68
May-2004,0.21
Jun-2004,0.14
Jul-2004,0.05
Aug-2004,-0.06
Sep-2004,0.32
Oct-2004,0.83
Nov-2004,2
Dec-2004,1.94
Jan-2005,2.84
Feb-2005,3.9
Mar-2005,4.22
Apr-2005,4.31
May-2005,4.55
Jun-2005,4.12
Jul-2005,2.72
Aug-2005,2.73
Sep-2005,2.4
Oct-2005,2.23
Nov-2005,1.13
Dec-2005,-0.13
Jan-2006,-1.2
Feb-2006,-2.19
Mar-2006,-2.63
Apr-2006,-3.28
May-2006,-4.03
Jun-2006,-4.04
Jul-2006,-3.4
Aug-2006,-0.36
Sep-2006,1.04
Oct-2006,2.01
Nov-2006,1.37
Dec-2006,1.87
Jan-2007,2.35
Feb-2007,2.17
Mar-2007,2.16
Apr-2007,2.16
May-2007,2.88
Jun-2007,2.73
Jul-2007,2.4
Aug-2007,1.67
Sep-2007,1.33
Oct-2007,0.02
Nov-2007,-0.8
Dec-2007,0.2
Jan-2008,0.4
Feb-2008,0.29
Mar-2008,-0.4
Apr-2008,-1.07
May-2008,-1.08
Jun-2008,-1.51
Jul-2008,0.43
Aug-2008,0.72
Sep-2008,0.39
Oct-2008,0.7
Nov-2008,0.23
Dec-2008,0.36
Jan-2009,-0.5
Feb-2009,-1.36
Mar-2009,-1.92
Apr-2009,-2.1
May-2009,-2.21
Jun-2009,-1.87
Jul-2009,-1.73
Aug-2009,-2.49
Sep-2009,-2.05
Oct-2009,-1.66
Nov-2009,-1.87
Dec-2009,-1.38
Jan-2010,0.12
Feb-2010,1.31
Mar-2010,1.96
Apr-2010,2.23
May-2010,1.92
Jun-2010,1.53
Jul-2010,2.29
Aug-2010,2.01
Sep-2010,1.35
Oct-2010,0.65
Nov-2010,-0.24
Dec-2010,-0.88
Jan-2011,-1.58
Feb-2011,-1.71
Mar-2011,-2.53
Apr-2011,-3.08
May-2011,-3.53
Jun-2011,-4.2
Jul-2011,-4.51
Aug-2011,-4.73
Sep-2011,-4.36
Oct-2011,-3.97
Nov-2011,-3.75
Dec-2011,-2.17
Jan-2012,-2.28
Feb-2012,-2.19
Mar-2012,-2.51
Apr-2012,-2.82
May-2012,-2.96
Jun-2012,-3.57
Jul-2012,-3.66
Aug-2012,-4.12
Sep-2012,-4.09
Oct-2012,-4.46
Nov-2012,-4.67
Dec-2012,-4.43
Jan-2013,-4.06
Feb-2013,-3.87
Mar-2013,-4.11
Apr-2013,-4.35
May-2013,-4.73
Jun-2013,-5.09
Jul-2013,-3.99
Aug-2013,-3.91
Sep-2013,-1.72
Oct-2013,-1.85
Nov-2013,-1.04
Dec-2013,-1.14
Jan-2014,-1.64
Feb-2014,-2.25
Mar-2014,-2.52
Apr-2014,-2.78
May-2014,-2.67
Jun-2014,-3.07
Jul-2014,-2.2
Aug-2014,-1.79
Sep-2014,-0.03
Oct-2014,-0.4
Nov-2014,-0.34
Dec-2014,-0.33
Jan-2015,0.66
Feb-2015,0.71
Mar-2015,0.55
Apr-2015,0.49
May-2015,1.86
Jun-2015,2.4
Jul-2015,3.46
Aug-2015,2.85
Sep-2015,1.96
Oct-2015,2.96
Nov-2015,3
Dec-2015,3.06
Jan-2016,2.77
Feb-2016,2.05
Mar-2016,0.81
Apr-2016,0.8
May-2016,0.71
Jun-2016,0.51
Jul-2016,-0.65
Aug-2016,0.39
Sep-2016,2.89
Oct-2016,-0.23
Nov-2016,0.25
Dec-2016,0.63
Jan-2017,2.24
Feb-2017,1.85
Mar-2017,1.05
Apr-2017,1.18
May-2017,1
Jun-2017,0.9
Jul-2017,0.96
Aug-2017,1.52
Sep-2017,1.49
Oct-2017,1.6
Nov-2017,0.5
Dec-2017,-0.42
