Date,sc_PDSI
Jan-2000,-1.8
Feb-2000,-2.5
Mar-2000,-2
Apr-2000,-2.2
May-2000,-3.1
Jun-2000,-2.4
Jul-2000,-2.8
Aug-2000,-3.2
Sep-2000,-4
Oct-2000,-2.7
Nov-2000,-1.9
Dec-2000,-1.7
Jan-2001,-1
Feb-2001,-0.7
Mar-2001,0.3
Apr-2001,0.4
May-2001,0.7
Jun-2001,0.5
Jul-2001,-0.3
Aug-2001,-0.4
Sep-2001,-1.2
Oct-2001,-2.1
Nov-2001,-1.9
Dec-2001,-1.9
Jan-2002,-1.9
Feb-2002,-1.9
Mar-2002,-2
Apr-2002,-2.5
May-2002,-3.2
Jun-2002,-3.6
Jul-2002,-3.4
Aug-2002,-3.7
Sep-2002,-2.9
Oct-2002,-2.4
Nov-2002,-2.1
Dec-2002,-1.7
Jan-2003,-2.1
Feb-2003,-1.6
Mar-2003,-1.4
Apr-2003,-1.8
May-2003,-2.3
Jun-2003,-2.2
Jul-2003,-3.4
Aug-2003,-3.7
Sep-2003,-3.7
Oct-2003,-3.5
Nov-2003,-3
Dec-2003,-3.1
Jan-2004,-2.9
Feb-2004,-2.3
Mar-2004,-2.1
Apr-2004,-0.9
May-2004,-1.3
Jun-2004,-1.2
Jul-2004,-1.2
Aug-2004,-1.1
Sep-2004,-0.7
Oct-2004,-0.3
Nov-2004,0.5
Dec-2004,0.5
Jan-2005,1.2
Feb-2005,2
Mar-2005,2.3
Apr-2005,2.4
May-2005,2.6
Jun-2005,2.4
Jul-2005,0.8
Aug-2005,0.7
Sep-2005,0.5
Oct-2005,0.5
Nov-2005,-0.6
Dec-2005,-1.6
Jan-2006,-2.2
Feb-2006,-2.7
Mar-2006,-2.8
Apr-2006,-3.3
May-2006,-3.9
Jun-2006,-3.7
Jul-2006,-3.2
Aug-2006,-1.9
Sep-2006,-0.9
Oct-2006,-0.1
Nov-2006,-0.5
Dec-2006,-0.1
Jan-2007,0.2
Feb-2007,0.3
Mar-2007,0.5
Apr-2007,0.7
May-2007,1.3
Jun-2007,1.2
Jul-2007,1
Aug-2007,0.3
Sep-2007,0.1
Oct-2007,-1
Nov-2007,-1.5
Dec-2007,-0.9
Jan-2008,-0.7
Feb-2008,-0.7
Mar-2008,-1.1
Apr-2008,-1.6
May-2008,-1.5
Jun-2008,-1.8
Jul-2008,-0.9
Aug-2008,-0.7
Sep-2008,-0.7
Oct-2008,-0.6
Nov-2008,-0.8
Dec-2008,-0.8
Jan-2009,-1.3
Feb-2009,-1.9
Mar-2009,-2.2
Apr-2009,-2.3
May-2009,-2.3
Jun-2009,-2
Jul-2009,-1.9
Aug-2009,-2.6
Sep-2009,-2.3
Oct-2009,-1.9
Nov-2009,-2
Dec-2009,-1.6
Jan-2010,-0.9
Feb-2010,-0.2
Mar-2010,0.5
Apr-2010,0.8
May-2010,0.6
Jun-2010,0.4
Jul-2010,0.9
Aug-2010,0.7
Sep-2010,0.1
Oct-2010,-0.6
Nov-2010,-1.3
Dec-2010,-1.5
Jan-2011,-1.9
Feb-2011,-1.8
Mar-2011,-2.5
Apr-2011,-3.1
May-2011,-3.5
Jun-2011,-4.1
Jul-2011,-4.3
Aug-2011,-4.5
Sep-2011,-4
Oct-2011,-3.6
Nov-2011,-3.3
Dec-2011,-2.3
Jan-2012,-2.3
Feb-2012,-2.1
Mar-2012,-2.4
Apr-2012,-2.6
May-2012,-2.7
Jun-2012,-3.3
Jul-2012,-3.3
Aug-2012,-3.8
Sep-2012,-3.6
Oct-2012,-4
Nov-2012,-4.1
Dec-2012,-3.8
Jan-2013,-3.4
Feb-2013,-3.1
Mar-2013,-3.4
Apr-2013,-3.6
May-2013,-4
Jun-2013,-4.3
Jul-2013,-3.4
Aug-2013,-3.4
Sep-2013,-2.2
Oct-2013,-2.3
Nov-2013,-1.8
Dec-2013,-1.8
Jan-2014,-2.1
Feb-2014,-2.5
Mar-2014,-2.6
Apr-2014,-2.8
May-2014,-2.7
Jun-2014,-3.1
Jul-2014,-2.5
Aug-2014,-2.2
Sep-2014,-1.3
Oct-2014,-1.5
Nov-2014,-1.3
Dec-2014,-1.3
Jan-2015,-0.7
Feb-2015,-0.6
Mar-2015,-0.6
Apr-2015,-0.6
May-2015,0.3
Jun-2015,0.7
Jul-2015,1.5
Aug-2015,1
Sep-2015,0.2
Oct-2015,0.8
Nov-2015,1
Dec-2015,1.2
Jan-2016,1.1
Feb-2016,0.6
Mar-2016,-0.4
Apr-2016,-0.3
May-2016,-0.3
Jun-2016,-0.4
Jul-2016,-1.5
Aug-2016,-0.8
Sep-2016,1.2
Oct-2016,-1.4
Nov-2016,-1
Dec-2016,-0.7
Jan-2017,0.3
Feb-2017,0.1
Mar-2017,-0.5
Apr-2017,-0.3
May-2017,-0.3
Jun-2017,-0.4
Jul-2017,-0.3
Aug-2017,0
Sep-2017,0.1
Oct-2017,0.1
Nov-2017,-0.8
Dec-2017,-1.5
